date_str;artist;single;record_label;weeks
January 29, 2000;Savage Garden;"""I Knew I Loved You""";4;
February 19, 2000;Mariah Carey featuring Joe and 98 Degrees;"""Thank God I Found You""";1;
March 4, 2000;Lonestar;"""Amazed""";2;
March 18, 2000;Destiny's Child;"""Say My Name""";3;
April 8, 2000;Santana featuring The Product G&B;"""Maria Maria""";10;
June 17, 2000;Aaliyah;"""Try Again""";1;
June 24, 2000;Enrique Iglesias;"""Be With You""";3;
July 15, 2000;Vertical Horizon;"""Everything You Want""";1;
July 22, 2000;Matchbox Twenty;"""Bent""";1;
July 29, 2000;'N Sync;"""It's Gonna Be Me""";2;
August 12, 2000;Sisqó;"""Incomplete""";2;
August 26, 2000;Janet Jackson;"""Doesn't Really Matter""";3;
September 16, 2000;Madonna;"""Music""";4;
October 14, 2000;Christina Aguilera;"""Come On Over Baby (All I Want Is You)""";4;
November 11, 2000;Creed;"""With Arms Wide Open""";1;
November 18, 2000;Destiny's Child;"""Independent Women""";11;
2001;2001;2001;2001;2001.0
February 3, 2001;Shaggy featuring Ricardo 'Rikrok' Ducent;"""It Wasn't Me""";2;
February 17, 2001;Outkast;"""Ms. Jackson""";1;
February 24, 2001;Joe featuring Mystikal;"""Stutter""";4;
March 24, 2001;Crazy Town;"""Butterfly""";2;
March 31, 2001;Shaggy featuring Rayvon;"""Angel""";1;
April 14, 2001;Janet Jackson;"""All For You""";7;
June 2, 2001;Christina Aguilera, Lil' Kim, Mýa and Pink;"""Lady Marmalade""";5;
July 7, 2001;Usher;"""U Remind Me""";4;
August 4, 2001;Destiny's Child;"""Bootylicious""";2;
August 18, 2001;Alicia Keys;"""Fallin'""";6;
September 8, 2001;Jennifer Lopez featuring Ja Rule;"""I'm Real""";5;
November 3, 2001;Mary J. Blige;"""Family Affair""";6;
December 15, 2001;Usher;"""U Got It Bad""";6;
December 22, 2001;Nickelback;"""How You Remind Me""♪[C]";4;
2002;2002;2002;2002;2002.0
February 23, 2002;Ja Rule featuring Ashanti;"""Always on Time""";2;
March 9, 2002;Jennifer Lopez featuring Ja Rule;"""Ain't It Funny""";6;
April 20, 2002;Ashanti;"""Foolish""";10;
June 29, 2002;Nelly;"""Hot in Herre""";7;
August 17, 2002;Nelly featuring Kelly Rowland;"""Dilemma""";10;
October 5, 2002;Kelly Clarkson;"""A Moment Like This""";2;
November 9, 2002;Eminem;"""Lose Yourself""";12;
2003;2003;2003;2003;2003.0
February 1, 2003;B2K featuring P. Diddy;"""Bump, Bump, Bump""";1;
February 8, 2003;Jennifer Lopez featuring LL Cool J;"""All I Have""";4;
March 8, 2003;50 Cent;"""In da Club""♪[D]";9;
May 10, 2003;Sean Paul;"""Get Busy""";3;
May 31, 2003;50 Cent featuring Nate Dogg;"""21 Questions""";4;
June 28, 2003;Clay Aiken;"""This Is the Night""";2;
July 12, 2003;Beyoncé featuring Jay-Z;"""Crazy in Love""";8;
September 6, 2003;Nelly, P. Diddy and Murphy Lee;"""Shake Ya Tailfeather""";4;
October 4, 2003;Beyoncé featuring Sean Paul;"""Baby Boy""";9;
December 6, 2003;Ludacris featuring Shawnna;"""Stand Up""";1;
December 13, 2003;Outkast;"""Hey Ya!""";9;
2004;2004;2004;2004;2004.0
February 14, 2004;Outkast featuring Sleepy Brown;"""The Way You Move""";1;
February 21, 2004;Twista featuring Kanye West and Jamie Foxx;"""Slow Jamz""";1;
February 28, 2004;Usher featuring Lil Jon and Ludacris;"""Yeah!""♪[E]";12;
May 22, 2004;Usher;"""Burn""";8;
July 10, 2004;Fantasia;"""I Believe""";1;
July 24, 2004;Usher;"""Confessions Part II""";2;
August 7, 2004;Juvenile featuring Soulja Slim;"""Slow Motion""";2;
August 21, 2004;Terror Squad;"""Lean Back""";3;
September 11, 2004;Ciara featuring Petey Pablo;"""Goodies""";7;
October 30, 2004;Usher and Alicia Keys;"""My Boo""";6;
December 11, 2004;Snoop Dogg featuring Pharrell;"""Drop It Like It's Hot""";3;
2005;2005;2005;2005;2005.0
January 1, 2005;Mario;"""Let Me Love You""";9;
March 5, 2005;50 Cent featuring Olivia;"""Candy Shop""";9;
May 7, 2005;Gwen Stefani;"""Hollaback Girl""";4;
June 4, 2005;Mariah Carey;"""We Belong Together""†[F]";14;
July 2, 2005;Carrie Underwood;"""Inside Your Heaven""";1;
September 17, 2005;Kanye West featuring Jamie Foxx;"""Gold Digger""";10;
November 26, 2005;Chris Brown;"""Run It!""";5;
December 31, 2005;Mariah Carey;"""Don't Forget About Us""";2;
2006;2006;2006;2006;2006.0
January 14, 2006;D4L;"""Laffy Taffy""";1;
January 21, 2006;Nelly featuring Paul Wall, Ali and Gipp;"""Grillz""";2;
February 4, 2006;Beyoncé featuring Slim Thug;"""Check on It""";5;
March 11, 2006;James Blunt;"""You're Beautiful""";1;
March 18, 2006;Ne-Yo;"""So Sick""";2;
April 1, 2006;Sean Paul;"""Temperature""";1;
April 8, 2006;Daniel Powter;"""Bad Day""♪[G]";5;
May 13, 2006;Rihanna;"""SOS""";3;
June 3, 2006;Chamillionaire featuring Krayzie Bone;"""Ridin'""";2;
June 17, 2006;Shakira featuring Wyclef Jean;"""Hips Don't Lie""";2;
July 1, 2006;Taylor Hicks;"""Do I Make You Proud""";1;
July 8, 2006;Nelly Furtado featuring Timbaland;"""Promiscuous""";6;
August 19, 2006;Fergie;"""London Bridge""";3;
September 9, 2006;Justin Timberlake;"""SexyBack""";7;
October 28, 2006;Ludacris featuring Pharrell;"""Money Maker""";2;
November 11, 2006;Justin Timberlake featuring T.I.;"""My Love""";3;
December 2, 2006;Akon featuring Snoop Dogg;"""I Wanna Love You""";2;
December 16, 2006;Beyoncé;"""Irreplaceable""♪[H]";10;
2007;2007;2007;2007;2007.0
February 24, 2007;Nelly Furtado;"""Say It Right""";1;
March 3, 2007;Justin Timberlake;"""What Goes Around... Comes Around""";1;
March 10, 2007;Mims;"""This Is Why I'm Hot""";2;
March 24, 2007;Fergie featuring Ludacris;"""Glamorous""";2;
April 7, 2007;Akon;"""Don't Matter""";2;
April 21, 2007;Timbaland featuring Nelly Furtado and Justin Timberlake;"""Give It To Me""";2;
May 5, 2007;Avril Lavigne;"""Girlfriend""";1;
May 12, 2007;Maroon 5;"""Makes Me Wonder""";3;
May 26, 2007;T-Pain featuring Yung Joc;"""Buy U a Drank (Shawty Snappin')""";1;
June 9, 2007;Rihanna featuring Jay-Z;"""Umbrella""";7;
July 28, 2007;Plain White T's;"""Hey There Delilah""";2;
August 11, 2007;Sean Kingston;"""Beautiful Girls""";4;
September 8, 2007;Fergie;"""Big Girls Don't Cry""";1;
September 15, 2007;Soulja Boy;"""Crank That (Soulja Boy)""";7;
September 29, 2007;Kanye West;"""Stronger""";1;
November 10, 2007;Chris Brown featuring T-Pain;"""Kiss Kiss""";3;
December 1, 2007;Alicia Keys;"""No One""";5;
2008;2008;2008;2008;2008.0
January 5, 2008;Flo Rida featuring T-Pain;"""Low""♪[I]";10;
March 15, 2008;Usher featuring Young Jeezy;"""Love in This Club""";3;
April 5, 2008;Leona Lewis;"""Bleeding Love""";4;
April 12, 2008;Mariah Carey;"""Touch My Body""";2;
May 3, 2008;Lil Wayne featuring Static Major;"""Lollipop""";5;
May 24, 2008;Rihanna;"""Take a Bow""";1;
June 28, 2008;Coldplay;"""Viva la Vida""";1;
July 5, 2008;Katy Perry;"""I Kissed a Girl""";7;
August 23, 2008;Rihanna;"""Disturbia""";2;
September 6, 2008;T.I.;"""Whatever You Like""";7;
September 27, 2008;Pink;"""So What""";1;
